ID,bl41,C8166,CEM A 301,CEM SS,CEM X 174,DAUDI,HSB2,HT1080,IMR90,JURKAT E6.1,Jurkat tag,MT4,RAJI,RAMOS,WI38,gene_names
ENSG00000242989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL332P
ENSG00000242990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000242991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL7P40
ENSG00000242992,5,1,0,4,1,7,9,1,12,16,4,11,7,12,82,Unknown
ENSG00000242993,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,RPL32P25
ENSG00000242995,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,RPL36AP1
ENSG00000242998,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RN7SL379P
ENSG00000242999,17,3,1,11,0,18,20,3,4,27,8,20,17,13,15,RN7SL239P
ENSG00000243004,3465,1947,2,3227,46,1681,1004,1181,4595,1217,2204,5196,4890,525,51,Unknown
ENSG00000243005,25,7,0,12,3,17,22,10,15,65,25,11,11,18,29,RN7SL16P
ENSG00000243007,2,1,0,1,0,1,0,1,0,1,0,1,0,0,1,Unknown
ENSG00000243008,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Unknown
ENSG00000243011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL266P
ENSG00000243012,1,0,0,0,0,0,0,0,0,0,0,6,0,13,0,Unknown
ENSG00000243014,2,0,0,1,1,2,2,0,4,0,5,0,1,0,0,Unknown
ENSG00000243015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL737P
ENSG00000243016,0,4,0,0,4,1,0,0,0,14,1,0,7,0,0,Unknown
ENSG00000243018,0,0,0,0,0,0,2,0,4,9,0,2,1,0,12,Unknown
ENSG00000243020,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,RPL7P39
ENSG00000243022,0,0,0,2,0,0,2,2,0,1,0,1,0,1,0,Unknown
ENSG00000243023,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,Unknown
ENSG00000243024,2,1,0,1,0,4,0,2,2,8,5,1,5,0,1,Unknown
ENSG00000243025,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,Unknown
ENSG00000243027,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Unknown
ENSG00000243029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL635P
ENSG00000243033,0,0,0,0,0,0,0,0,0,0,1,5,5,0,7,GAPDHP47
ENSG00000243035,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,RN7SL810P
ENSG00000243038,0,2,0,0,0,0,0,0,0,1,1,6,2,0,0,Unknown
ENSG00000243040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RBMY2FP
ENSG00000243044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243049,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,RN7SL33P
ENSG00000243050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL30P10
ENSG00000243051,4,0,0,1,0,0,3,0,2,5,6,0,0,3,2,RN7SL269P
ENSG00000243053,25,9,0,8,4,44,22,7,11,30,16,17,5,4,22,RPL31P58
ENSG00000243055,35,29,2,38,12,19,28,17,97,31,14,51,33,30,104,Unknown
ENSG00000243056,28,1,0,11,0,7,3,2,8,14,12,8,5,2,6,EIF4EBP3
ENSG00000243058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL400P
ENSG00000243062,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,FAM163A
ENSG00000243063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IGKV3-7
ENSG00000243064,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,ABCC13
ENSG00000243066,11,0,0,0,4,3,0,0,0,0,0,1,1,0,0,RN7SL842P
ENSG00000243069,15,0,0,1,0,2,0,0,0,11,11,0,5,1,0,ARHGEF26-AS1
ENSG00000243071,44,20,1,28,0,31,23,19,36,20,58,57,38,12,8,RPL21P98
ENSG00000243072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRAMEF4
ENSG00000243075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL519P
ENSG00000243081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unknown
ENSG00000243083,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,LINC00870
ENSG00000243085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243094,4,6,0,1,3,4,0,0,2,6,5,6,3,3,1,Unknown
ENSG00000243095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL17P27
ENSG00000243101,1,2,0,3,0,33,25,0,8,57,33,68,19,30,17,RPS3P7
ENSG00000243103,0,0,0,0,1,0,1,3,1,4,0,0,0,1,18,RN7SL452P
ENSG00000243104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Unknown
ENSG00000243107,83,4,2,49,0,113,49,4,38,89,42,85,52,63,72,Unknown
ENSG00000243115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RN7SL849P
ENSG00000243116,0,0,0,0,0,0,0,1,6,0,0,0,0,0,4,Unknown
ENSG00000243122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPS15P8
ENSG00000243124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL643P
ENSG00000243125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RN7SL807P
ENSG00000243129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPS26P46
ENSG00000243130,0,0,0,0,0,0,0,0,18,0,1,0,0,1,17,PSG11
ENSG00000243135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unknown
ENSG00000243136,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,RN7SL22P
ENSG00000243137,0,1,0,0,0,0,0,8,887,0,2,0,0,0,1085,PSG4
ENSG00000243141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL23AP66
ENSG00000243144,0,0,0,7,0,2,0,0,1,0,1,0,2,1,1,Unknown
ENSG00000243147,387,561,14,563,100,380,709,926,1302,591,755,383,1085,294,505,MRPL33
ENSG00000243149,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Unknown
ENSG00000243150,77,57,3,104,16,75,89,54,72,112,166,91,94,102,23,MLF1-DT
ENSG00000243154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYPL1P1
ENSG00000243155,26,3,0,43,1,38,42,16,44,81,22,44,34,13,61,Unknown
ENSG00000243156,1969,788,10,810,140,2463,614,392,1187,1167,837,2217,954,2335,1855,MICAL3
ENSG00000243160,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,RPL7AP32
ENSG00000243164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL31P48
ENSG00000243165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unknown
ENSG00000243167,2,0,0,1,0,0,0,1,0,0,5,1,1,1,0,Unknown
ENSG00000243171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RPL17P32
ENSG00000243173,0,0,0,0,0,0,0,2,5,0,3,1,0,0,16,RN7SL861P
ENSG00000243175,50,0,0,1,0,0,6,20,28,3,0,48,11,42,71,RPSAP36
ENSG00000243176,9,3,0,6,2,4,12,41,66,26,8,50,20,16,56,Unknown
ENSG00000243179,2,2,0,1,0,3,0,7,10,7,1,1,0,0,28,Unknown
ENSG00000243181,24,29,1,22,5,20,23,29,27,119,38,44,38,16,9,RPL21P80
ENSG00000243187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243188,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,HNRNPA1P17
ENSG00000243193,274,0,0,0,0,195,10,2,8,25,3,0,5,227,12,Unknown
ENSG00000243195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUBBP11
ENSG00000243197,0,1,2,19,0,0,0,0,137,67,0,0,1,0,50,TUSC7
ENSG00000243199,190,174,12,249,139,200,95,87,270,178,331,184,230,103,419,RPL6P10
ENSG00000243207,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,PPAN-P2RY11
ENSG00000243220,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243224,23,4,0,20,1,7,17,4,5,16,30,17,55,10,4,TWF2-DT
ENSG00000243225,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,Unknown
ENSG00000243227,7,2,0,4,0,3,4,0,1,8,6,5,6,1,1,RN7SL55P
ENSG00000243230,0,1,0,2,1,0,26,6,84,67,59,1,2,5,60,Unknown
ENSG00000243232,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,PCDHAC2
ENSG00000243234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,RPL19P19
ENSG00000243236,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unknown
ENSG00000243238,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,IGKV2-30
ENSG00000243243,4,1,0,6,1,0,15,1,54,0,0,22,6,0,25,Unknown
ENSG00000243244,16,2,0,3,0,8,1,55,257,41,11,23,8,4,382,STON1
ENSG00000243250,11,3,1,12,0,25,10,16,24,19,16,30,10,12,41,RPS6P16
ENSG00000243254,2,0,0,1,0,1,3,0,0,5,0,5,2,4,3,RN7SL350P
ENSG00000243256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
ENSG00000243257,0,1,0,0,2,2,1,0,2,5,0,0,5,0,5,MTCO2P29
ENSG00000243260,33,4,0,6,1,27,25,3,15,20,7,12,17,15,27,RN7SL558P
ENSG00000243264,12,0,0,0,0,7,0,0,0,0,0,0,12,1,0,IGKV2D-29
ENSG00000243265,16,0,0,0,0,66,1,0,0,1,0,10,15,32,1,RPL23AP55
